iter	Passed	Remaining
0	172	172815
1	215	107626
2	253	84099
3	288	71759
4	320	63691
5	338	56139
6	355	50460
7	366	45444
8	376	41483
9	386	38270
10	397	35738
11	407	33537
12	416	31647
13	427	30135
14	438	28770
15	446	27487
16	456	26414
17	466	25437
18	477	24637
19	486	23847
20	495	23113
21	506	22522
22	516	21951
23	528	21484
24	539	21027
25	549	20596
26	559	20174
27	569	19753
28	577	19339
29	587	18990
30	595	18622
31	605	18307
32	614	18003
33	625	17760
34	634	17498
35	643	17227
36	652	16976
37	660	16725
38	669	16507
39	677	16270
40	687	16072
41	695	15861
42	704	15677
43	713	15505
44	723	15355
45	733	15208
46	742	15051
47	751	14897
48	760	14767
49	769	14629
50	779	14507
51	788	14382
52	800	14296
53	811	14219
54	822	14137
55	834	14066
56	843	13956
57	853	13861
58	864	13795
59	875	13713
60	884	13613
61	895	13542
62	904	13457
63	913	13357
64	923	13278
65	934	13217
66	943	13132
67	951	13046
68	961	12969
69	970	12895
70	979	12815
71	989	12756
72	998	12682
73	1008	12621
74	1017	12554
75	1028	12501
76	1037	12434
77	1046	12371
78	1056	12318
79	1067	12270
80	1076	12218
81	1087	12173
82	1096	12118
83	1107	12074
84	1117	12024
85	1126	11969
86	1137	11935
87	1147	11889
88	1156	11841
89	1167	11801
90	1176	11754
91	1187	11716
92	1196	11673
93	1206	11631
94	1216	11593
95	1226	11545
96	1237	11521
97	1249	11499
98	1259	11460
99	1269	11427
100	1280	11396
101	1289	11353
102	1300	11324
103	1309	11283
104	1319	11244
105	1328	11206
106	1338	11172
107	1348	11138
108	1357	11094
109	1367	11066
110	1378	11042
111	1387	11000
112	1397	10970
113	1407	10936
114	1417	10905
115	1427	10880
116	1436	10838
117	1446	10812
118	1455	10771
119	1464	10738
120	1473	10704
121	1482	10668
122	1491	10637
123	1500	10599
124	1510	10571
125	1518	10533
126	1527	10499
127	1535	10461
128	1545	10434
129	1554	10400
130	1563	10368
131	1572	10339
132	1580	10304
133	1590	10275
134	1598	10240
135	1606	10207
136	1615	10173
137	1624	10146
138	1632	10115
139	1643	10095
140	1654	10080
141	1663	10050
142	1672	10026
143	1681	9997
144	1691	9972
145	1699	9942
146	1708	9912
147	1716	9881
148	1725	9852
149	1733	9824
150	1743	9801
151	1752	9775
152	1760	9746
153	1769	9722
154	1778	9695
155	1787	9670
156	1797	9652
157	1811	9654
158	1825	9657
159	1841	9667
160	1857	9680
161	1872	9687
162	1888	9696
163	1904	9708
164	1919	9715
165	1935	9725
166	1951	9731
167	1966	9739
168	1981	9743
169	1996	9746
170	2010	9745
171	2025	9749
172	2039	9750
173	2054	9752
174	2072	9769
175	2087	9774
176	2103	9780
177	2118	9783
178	2133	9786
179	2149	9790
180	2164	9793
181	2180	9800
182	2194	9797
183	2209	9797
184	2223	9795
185	2240	9803
186	2254	9800
187	2270	9807
188	2284	9803
189	2299	9801
190	2315	9805
191	2330	9808
192	2346	9809
193	2361	9809
194	2376	9808
195	2392	9812
196	2406	9809
197	2423	9816
198	2437	9813
199	2449	9799
200	2462	9789
201	2479	9795
202	2494	9794
203	2509	9793
204	2524	9790
205	2539	9786
206	2554	9787
207	2570	9789
208	2588	9796
209	2604	9796
210	2620	9799
211	2636	9800
212	2649	9791
213	2664	9785
214	2679	9782
215	2695	9782
216	2709	9776
217	2725	9776
218	2740	9772
219	2755	9769
220	2772	9770
221	2788	9771
222	2803	9768
223	2819	9766
224	2833	9760
225	2848	9755
226	2862	9747
227	2875	9736
228	2891	9734
229	2908	9736
230	2923	9731
231	2939	9730
232	2957	9734
233	2973	9732
234	2989	9731
235	3005	9729
236	3020	9722
237	3035	9718
238	3051	9715
239	3066	9709
240	3080	9702
241	3095	9695
242	3109	9687
243	3125	9683
244	3140	9677
245	3154	9668
246	3168	9660
247	3185	9658
248	3199	9650
249	3216	9650
250	3234	9652
251	3249	9644
252	3262	9633
253	3277	9626
254	3293	9623
255	3309	9617
256	3324	9610
257	3340	9607
258	3355	9599
259	3369	9590
260	3383	9581
261	3398	9573
262	3413	9564
